date,word,ipa,pos,meaning,sentence e,sentence c
01-01,analyze,/ˈæn.ə.laɪz/,v.,分析,Students must analyze the data before drawing conclusions.,學生必須先分析資料再下結論。
01-02,approach,/əˈprəʊtʃ/,n./v.,方法；接近,We need a new approach to solving this problem.,我們需要一個新方法來解決這個問題。
01-03,aspect,/ˈæs.pekt/,n.,面向；層面,One important aspect of the plan is cost control.,這個計畫的一個重要層面是成本控制。
01-04,assume,/əˈsjuːm/,v.,假設；認為,Don't assume everyone knows the rules.,不要假設每個人都知道規則。
01-05,benefit,/ˈben.ɪ.fɪt/,n./v.,好處；使受益,Regular exercise benefits both mind and body.,規律運動對身心都有好處。
01-06,commit,/kəˈmɪt/,v.,承諾；投入,She committed herself to learning English daily.,她承諾自己每天學英文。
01-07,conduct,/ˈkɒn.dʌkt/,v./n.,進行；行為,The researchers conducted a survey last month.,研究人員上個月進行了一項調查。
01-08,consequence,/ˈkɒn.sɪ.kwəns/,n.,結果；後果,Eating too much sugar can have serious consequences.,吃太多糖可能有嚴重後果。
01-09,consume,/kənˈsjuːm/,v.,消耗；食用,This device consumes less energy than the old one.,這台裝置比舊的更省電。
01-10,contribute,/kənˈtrɪb.juːt/,v.,貢獻；促成,Everyone can contribute to a cleaner environment.,每個人都能為更乾淨的環境盡一份心力。
01-11,demonstrate,/ˈdem.ən.streɪt/,v.,示範；證明,The teacher demonstrated how to solve the equation.,老師示範了如何解這個方程式。
01-12,distinct,/dɪˈstɪŋkt/,adj.,獨特的；明顯的,Each culture has its own distinct traditions.,每個文化都有其獨特的傳統。
01-13,emphasize,/ˈem.fə.saɪz/,v.,強調,He emphasized the importance of punctuality.,他強調了準時的重要性。
01-14,ensure,/ɪnˈʃɔːr/,v.,確保；保證,Please ensure that all doors are locked.,請確保所有門都已鎖上。
01-15,establish,/ɪˈstæb.lɪʃ/,v.,建立；創立,The company was established in 1990.,這家公司成立於 1990 年。
01-16,evaluate,/ɪˈvæl.ju.eɪt/,v.,評估；評價,We need to evaluate the effectiveness of the strategy.,我們需要評估這個策略的成效。
01-17,feature,/ˈfiː.tʃər/,n./v.,特徵；以…為特色,This phone's best feature is its camera.,這支手機最好的功能是它的相機。
01-18,focus,/ˈfəʊ.kəs/,n./v.,焦點；專注,Try to focus on your studies.,試著專注在你的課業上。
01-19,generate,/ˈdʒen.ə.reɪt/,v.,產生；引起,The project generated a lot of interest.,這個專案引起了很多關注。
01-20,identify,/aɪˈdent.ɪ.faɪ/,v.,識別；認出,Can you identify the bird by its song?,你能從叫聲認出這種鳥嗎？
01-21,imply,/ɪmˈplaɪ/,v.,暗示；意味著,Are you implying that I am wrong?,你在暗示我錯了嗎？
01-22,indicate,/ˈɪn.dɪ.keɪt/,v.,指出；顯示,The sign indicates that we should turn left.,路標顯示我們應該左轉。
01-23,individual,/ˌɪn.dɪˈvɪd.ju.əl/,n./adj.,個人；個別的,Every individual has the right to speak.,每個人都有發言權。
01-24,interpret,/ɪnˈtɜː.prɪt/,v.,解釋；口譯,How do you interpret this poem?,你如何解釋這首詩？
01-25,investigate,/ɪnˈves.tɪ.ɡeɪt/,v.,調查；研究,Police are investigating the cause of the accident.,警方正在調查事故原因。
01-26,involve,/ɪnˈvɒlv/,v.,涉及；包含,The job involves a lot of travel.,這份工作需要頻繁出差。
01-27,maintain,/meɪnˈteɪn/,v.,維持；保養,It is important to maintain a healthy lifestyle.,維持健康的生活方式很重要。
01-28,method,/ˈmeθ.əd/,n.,方法,He uses a special method to memorize words.,他用一種特殊的方法來背單字。
01-29,obtain,/əbˈteɪn/,v.,獲得；取得,You need to obtain permission to enter.,你需要獲得許可才能進入。
01-30,occur,/əˈkɜːr/,v.,發生；出現,When did the problem occur?,問題是什麼時候發生的？
01-31,participate,/pɑːˈtɪs.ɪ.peɪt/,v.,參與；參加,Students are encouraged to participate in discussions.,鼓勵學生參與討論。
02-01,perception,/pəˈsep.ʃən/,n.,知覺；觀念,His perception of the situation was different from mine.,他對情況的看法跟我不同。
02-02,perspective,/pəˈspek.tɪv/,n.,觀點；視角,Try to look at things from a different perspective.,試著從不同角度看事情。
02-03,potential,/pəˈten.ʃəl/,n./adj.,潛力；潛在的,She has the potential to be a great leader.,她有潛力成為一位偉大的領袖。
02-04,predict,/prɪˈdɪkt/,v.,預測,It is hard to predict the weather accurately.,很難準確預測天氣。
02-05,previous,/ˈpriː.vi.əs/,adj.,先前的,"In the previous chapter,we learned about verbs.","在上一章,我們學了動詞。"
02-06,principle,/ˈprɪn.sə.pəl/,n.,原則；原理,He is a man of high principles.,他是一個很有原則的人。
02-07,process,/ˈprəʊ.ses/,n./v.,過程；處理,Learning a language is a long process.,學習語言是一個漫長的過程。
02-08,publish,/ˈpʌb.lɪʃ/,v.,出版；發表,The book was published last year.,這本書是去年出版的。
02-09,purchase,/ˈpɜː.tʃəs/,v./n.,購買,I purchased a new laptop yesterday.,我昨天買了一台新筆電。
02-10,range,/reɪndʒ/,n./v.,範圍；排列,The price ranges from $10 to $50.,價格範圍從 10 美元到 50 美元。
02-11,region,/ˈriː.dʒən/,n.,地區；區域,This region is famous for its wine.,這個地區以葡萄酒聞名。
02-12,regulate,/ˈreɡ.jə.leɪt/,v.,規範；調節,Laws are made to regulate society.,法律是為了規範社會而制定的。
02-13,relevant,/ˈrel.ə.vənt/,adj.,相關的,Please keep your comments relevant to the topic.,請發表與主題相關的意見。
02-14,require,/rɪˈkwaɪər/,v.,需要；要求,This job requires a lot of patience.,這份工作需要很多耐心。
02-15,research,/rɪˈsɜːtʃ/,n./v.,研究,Scientific research helps us understand the world.,科學研究幫助我們了解世界。
02-16,resource,/rɪˈzɔːs/,n.,資源,Water is a precious resource.,水是珍貴的資源。
02-17,response,/rɪˈspɒns/,n.,回應；反應,Wait for his response before you act.,行動前先等他的回應。
02-18,role,/rəʊl/,n.,角色；作用,She plays a key role in the team.,她在團隊中扮演關鍵角色。
02-19,section,/ˈsek.ʃən/,n.,部分；區域,Read the first section of the report.,閱讀報告的第一部分。
02-20,select,/sɪˈlekt/,v.,選擇,Please select the correct answer.,請選擇正確的答案。
02-21,shift,/ʃɪft/,v./n.,轉移；改變,The focus has shifted to environmental issues.,焦點已轉移到環境議題。
02-22,significant,/sɪɡˈnɪf.ɪ.kənt/,adj.,重要的；顯著的,There was a significant increase in sales.,銷售額有顯著的增長。
02-23,source,/sɔːs/,n.,來源,Always verify your information source.,一定要確認你的資訊來源。
02-24,specific,/spəˈsɪf.ɪk/,adj.,特定的；明確的,Can you be more specific about your request?,你的要求能更具體一點嗎？
02-25,strategy,/ˈstræt.ə.dʒi/,n.,策略,We need a better marketing strategy.,我們需要更好的行銷策略。
02-26,structure,/ˈstrʌk.tʃər/,n.,結構,The structure of the building is very strong.,這棟建築的結構很堅固。
02-27,theory,/ˈθɪə.ri/,n.,理論,Darwin's theory of evolution is famous.,達爾文的演化論很有名。
02-28,tradition,/trəˈdɪʃ.ən/,n.,傳統,It is a tradition to eat turkey on Thanksgiving.,感恩節吃火雞是一項傳統。
02-29,variable,/ˈveə.ri.ə.bəl/,n./adj.,變數；多變的,The weather is very variable today.,今天的天氣很多變。
03-01,various,/ˈveə.ri.əs/,adj.,各式各樣的,There are various reasons for his refusal.,他拒絕有各種理由。
03-02,nuance,/ˈnjuː.ɑːns/,n.,細微差別,Understanding the nuances of language takes time.,理解語言的細微差別需要時間。
03-03,ubiquitous,/juːˈbɪk.wɪ.təs/,adj.,無所不在的,Smartphones are now ubiquitous in daily life.,智慧型手機在日常生活中無所不在。
03-04,paradigm,/ˈpær.ə.daɪm/,n.,典範；範例,The discovery caused a paradigm shift in science.,這項發現引起了科學界的典範轉移。
03-05,pragmatic,/præɡˈmæt.ɪk/,adj.,務實的,We need a pragmatic solution to this crisis.,我們需要一個務實的方案來解決這場危機。
03-06,aesthetic,/esˈθet.ɪk/,adj./n.,美學的；審美,The building combines function with aesthetic appeal.,這棟建築結合了功能與美學吸引力。
03-07,coherent,/kəʊˈhɪə.rənt/,adj.,連貫的；條理分明的,She gave a coherent explanation of the complex theory.,她對這個複雜的理論做了條理分明的解釋。
03-08,ambiguous,/æmˈbɪɡ.ju.əs/,adj.,模稜兩可的,The ending of the movie was ambiguous.,這部電影的結局模稜兩可。
03-09,empirical,/ɪmˈpɪr.ɪ.kəl/,adj.,經驗主義的；實證的,His claims are based on empirical evidence.,他的主張是基於實證證據。
03-10,hypothesis,/haɪˈpɒθ.ə.sɪs/,n.,假說,Scientists test a hypothesis through experiments.,科學家透過實驗來驗證假說。
03-11,integrate,/ˈɪn.tɪ.ɡreɪt/,v.,整合；融入,It is hard to integrate into a new culture.,融入新文化很困難。
03-12,mechanism,/ˈmek.ə.nɪ.zəm/,n.,機制；機械裝置,The body has a natural defense mechanism.,人體有自然的防禦機制。
03-13,phenomenon,/fəˈnɒm.ɪ.nən/,n.,現象,Auroras are a beautiful natural phenomenon.,極光是一種美麗的自然現象。
03-14,rationale,/ˌræʃ.əˈnɑːl/,n.,基本原理；邏輯依據,What is the rationale behind this decision?,這項決定背後的邏輯依據是什麼？
03-15,verify,/ˈver.ɪ.faɪ/,v.,核實；驗證,Please verify your email address.,請核實您的電子郵件地址。
03-16,accumulate,/əˈkjuː.mjə.leɪt/,v.,累積,Dust tends to accumulate under the bed.,床底下容易積灰塵。
03-17,adequate,/ˈæd.ə.kwət/,adj.,足夠的；適當的,Is the lighting adequate for reading?,光線足夠閱讀嗎？
03-18,anticipate,/ænˈtɪs.ɪ.peɪt/,v.,預期；期望,We anticipate a large crowd at the event.,我們預期活動會有很多人。
03-19,attribute,/ˈæt.rɪ.bjuːt/,v./n.,歸因於；特質,She attributes her success to hard work.,她將成功歸因於努力。
03-20,clarify,/ˈklær.ɪ.faɪ/,v.,澄清；闡明,Could you clarify what you mean?,你能澄清你的意思嗎？
03-21,comprehensive,/ˌkɒm.prɪˈhen.sɪv/,adj.,全面的；綜合的,They offer a comprehensive insurance plan.,他們提供一份全面的保險計畫。
03-22,conflict,/ˈkɒn.flɪkt/,n./v.,衝突；抵觸,There is a conflict between the two schedules.,這兩個行程有衝突。
03-23,crucial,/ˈkruː.ʃəl/,adj.,關鍵的；決定性的,Water is crucial for survival.,水對生存至關重要。
03-24,decline,/dɪˈklaɪn/,v./n.,下降；婉拒,Sales declined by 10% last year.,去年銷售額下降了 10%。
03-25,derive,/dɪˈraɪv/,v.,源自；獲得,Many English words are derived from Latin.,許多英文字源自拉丁文。
03-26,distribute,/dɪˈstrɪb.juːt/,v.,分發；分配,Volunteers distributed food to the homeless.,志工分發食物給無家可歸的人。
03-27,elaborate,/ɪˈlæb.ər.ət/,adj./v.,詳盡的；詳細說明,Please elaborate on your idea.,請詳細說明你的想法。
03-28,emphasise,/ˈem.fə.saɪz/,v.,強調 (英式拼法),The report emphasises the need for safety.,這份報告強調了安全的必要性。
03-29,enhance,/ɪnˈhɑːns/,v.,增強；提升,Good lighting can enhance the mood of a room.,好的燈光可以提升房間的氣氛。
03-30,explicit,/ɪkˈsplɪs.ɪt/,adj.,明確的；清楚的,He gave explicit instructions on how to do it.,他對於如何做給了明確的指示。
03-31,fluctuate,/ˈflʌk.tʃu.eɪt/,v.,波動,Vegetable prices fluctuate with the seasons.,蔬菜價格隨季節波動。
04-01,guideline,/ˈɡaɪd.laɪn/,n.,指導方針；準則,Follow the guidelines to ensure safety.,請遵守準則以確保安全。
04-02,highlight,/ˈhaɪ.laɪt/,v./n.,強調；最精彩的部分,The speech highlighted the importance of education.,演講強調了教育的重要性。
04-03,implement,/ˈɪm.plɪ.ment/,v.,實施；執行,It takes time to implement a new policy.,實施新政策需要時間。
04-04,induce,/ɪnˈdjuːs/,v.,引起；導致,Certain drugs can induce sleep.,某些藥物會引起睡眠。
04-05,inevitable,/ɪnˈev.ɪ.tə.bəl/,adj.,不可避免的,Change is inevitable in life.,生活中的改變是不可避免的。
04-06,infrastructure,/ˈɪn.frəˌstrʌk.tʃər/,n.,基礎設施,The government is investing in infrastructure.,政府正在投資基礎設施。
04-07,inherit,/ɪnˈher.ɪt/,v.,繼承,He inherited the house from his grandfather.,他從祖父那裡繼承了這棟房子。
04-08,innovate,/ˈɪn.ə.veɪt/,v.,創新,Companies must innovate to stay competitive.,公司必須創新以保持競爭力。
04-09,inspect,/ɪnˈspekt/,v.,檢查；視察,The officer inspected our passports.,官員檢查了我們的護照。
04-10,intense,/ɪnˈtens/,adj.,強烈的；劇烈的,The competition for the job was intense.,這份工作的競爭很激烈。
04-11,manipulate,/məˈnɪp.jə.leɪt/,v.,操縱；操作,He knows how to manipulate public opinion.,他知道如何操縱輿論。
04-12,minimize,/ˈmɪn.ɪ.maɪz/,v.,將…減到最少,We must minimize the risk of infection.,我們必須將感染風險降到最低。
04-13,modify,/ˈmɒd.ɪ.faɪ/,v.,修改,We need to modify the plan slightly.,我們需要稍微修改計畫。
04-14,monitor,/ˈmɒn.ɪ.tər/,v./n.,監控；顯示器,Doctors monitored the patient's heart rate.,醫生監控病人的心率。
04-15,motivate,/ˈməʊ.tɪ.veɪt/,v.,激勵,Praise can motivate students to learn.,讚美可以激勵學生學習。
04-16,negate,/nɪˈɡeɪt/,v.,否定；使無效,Alcohol can negate the effect of the medicine.,酒精會使藥效無效。
04-17,neutral,/ˈnjuː.trəl/,adj.,中立的,She tried to remain neutral in the argument.,她在爭論中試圖保持中立。
04-18,offset,/ˌɒfˈset/,v.,抵銷；補償,The gains offset the losses.,收益抵銷了損失。
04-19,ongoing,/ˈɒnˌɡəʊ.ɪŋ/,adj.,進行中的,There is an ongoing investigation into the case.,這個案件正在進行調查。
04-20,parameter,/pəˈræm.ɪ.tər/,n.,參數；界限,We have to work within certain parameters.,我們必須在特定界限內工作。
04-21,persist,/pəˈsɪst/,v.,堅持；持續,"If symptoms persist,see a doctor.","如果症狀持續,請看醫生。"
04-22,precede,/prɪˈsiːd/,v.,在…之前,A brief introduction preceded the main speech.,簡短的介紹在主演講之前。
04-23,prioritize,/praɪˈɒr.ɪ.taɪz/,v.,按優先順序處理,You need to prioritize your tasks.,你需要按優先順序處理任務。
04-24,prospect,/ˈprɒs.pekt/,n.,前景；展望,The job offers good promotion prospects.,這份工作有很好的升遷前景。
04-25,radical,/ˈræd.ɪ.kəl/,adj.,激進的；根本的,The organization proposed radical reforms.,該組織提出了激進的改革方案。
04-26,reinforce,/ˌriː.ɪnˈfɔːs/,v.,加強；強化,The wall was reinforced with steel.,這道牆用鋼筋強化了。
04-27,restore,/rɪˈstɔːr/,v.,恢復；修復,The painting was carefully restored.,這幅畫被仔細修復了。
04-28,revise,/rɪˈvaɪz/,v.,修訂；複習,Please revise your essay before submitting it.,提交前請修訂你的文章。
04-29,schedule,/ˈʃed.juːl/,n./v.,行程表；安排,Let's check the schedule for the meeting.,我們來確認會議行程。
04-30,simulate,/ˈsɪm.jə.leɪt/,v.,模擬,The software simulates real driving conditions.,這套軟體模擬真實駕駛狀況。
05-01,submit,/səbˈmɪt/,v.,提交；順從,You must submit your application by Friday.,你必須在週五前提交申請。
05-02,sustain,/səˈsteɪn/,v.,維持；支撐,We need enough food to sustain life.,我們需要足夠的食物來維持生命。
05-03,temporary,/ˈtem.pər.ər.i/,adj.,暫時的,This is just a temporary solution.,這只是暫時的解決方案。
05-04,terminate,/ˈtɜː.mɪ.neɪt/,v.,終止,The contract was terminated early.,合約被提前終止了。
05-05,trace,/treɪs/,v./n.,追蹤；痕跡,Police traced the call to a public phone.,警方追蹤電話到一個公共電話。
05-06,ultimate,/ˈʌl.tɪ.mət/,adj.,最終的；極限的,Our ultimate goal is peace.,我們最終的目標是和平。
05-07,undergo,/ˌʌn.dəˈɡəʊ/,v.,經歷；接受（檢查等）,He had to undergo surgery.,他必須接受手術。
05-08,valid,/ˈvæl.ɪd/,adj.,有效的；有根據的,Your passport is no longer valid.,你的護照不再有效。
05-09,violate,/ˈvaɪ.ə.leɪt/,v.,違反；侵犯,Do not violate the rules of the school.,不要違反校規。
05-10,visible,/ˈvɪz.ə.bəl/,adj.,可見的,The stars are visible tonight.,今晚看得見星星。
05-11,voluntary,/ˈvɒl.ən.tər.i/,adj.,自願的,Attendance at the meeting is voluntary.,參加會議是自願的。
05-12,widespread,/ˈwaɪd.spred/,adj.,廣泛的；普遍的,There is widespread support for the new law.,新法律獲得廣泛支持。
05-13,cognitive,/ˈkɒɡ.nə.tɪv/,adj.,認知的,Puzzles are good for cognitive development.,拼圖對認知發展有益。
05-14,deficit,/ˈdef.ɪ.sɪt/,n.,赤字；不足,The government is trying to reduce the deficit.,政府正試圖減少赤字。
05-15,dimension,/daɪˈmen.ʃən/,n.,維度；尺寸,Music adds a new dimension to the film.,音樂為電影增添了一個新的維度。
05-16,entity,/ˈen.tɪ.ti/,n.,實體,The two companies are separate legal entities.,這兩家公司是獨立的法律實體。
05-17,ethic,/ˈeθ.ɪk/,n.,道德準則；倫理,Work ethic is important in this company.,這家公司很重視職業道德。
05-18,external,/ɪkˈstɜː.nəl/,adj.,外部的,This medicine is for external use only.,這種藥僅供外用。
05-19,facilitate,/fəˈsɪl.ɪ.teɪt/,v.,促進；使便利,The new software facilitates teamwork.,新軟體促進團隊合作。
05-20,finance,/ˈfaɪ.næns/,n./v.,財政；資助,He works in the world of high finance.,他在金融界工作。
05-21,formula,/ˈfɔː.mjə.lə/,n.,公式；配方,What is the formula for calculating area?,計算面積的公式是什麼？
05-22,fundamental,/ˌfʌn.dəˈmen.təl/,adj.,基礎的；根本的,Freedom is a fundamental human right.,自由是基本人權。
05-23,ideology,/ˌaɪ.diˈɒl.ə.dʒi/,n.,意識形態,Political ideology often influences policy.,政治意識形態常影響政策。
05-24,incentive,/ɪnˈsen.tɪv/,n.,誘因；激勵,Bonus payments provide an incentive to work harder.,獎金提供了更努力工作的誘因。
05-25,incorporate,/ɪnˈkɔː.pər.eɪt/,v.,包含；合併,Please incorporate these changes into the report.,請將這些修改合併到報告中。
05-26,initiative,/ɪˈnɪʃ.ə.tɪv/,n.,主動性；新方案,He showed great initiative in solving the problem.,他在解決問題上展現了極大的主動性。
05-27,institutional,/ˌɪn.stɪˈtjuː.ʃən.əl/,adj.,制度的；機構的,Institutional changes are needed to improve efficiency.,需要制度上的改變來提升效率。
05-28,internal,/ɪnˈtɜː.nəl/,adj.,內部的,The company has an internal mail system.,公司有內部郵件系統。
05-29,justify,/ˈdʒʌs.tɪ.faɪ/,v.,證明…是正當的；辯解,How can you justify such bad behavior?,你如何為這種惡劣行為辯解？
05-30,license,/ˈlaɪ.səns/,n./v.,執照；許可,You need a license to drive a car.,你需要駕照才能開車。
05-31,logic,/ˈlɒdʒ.ɪk/,n.,邏輯,There is no logic in his argument.,他的論點沒有邏輯。
06-01,margin,/ˈmɑː.dʒɪn/,n.,邊緣；利潤,They won by a narrow margin.,他們以些微差距獲勝。
06-02,medical,/ˈmed.ɪ.kəl/,adj.,醫療的；醫學的,Seek medical advice if pain continues.,如果疼痛持續，請尋求醫療建議。
06-03,mental,/ˈmen.təl/,adj.,心理的；精神的,Mental health is as important as physical health.,心理健康和身體健康一樣重要。
06-04,network,/ˈnet.wɜːk/,n./v.,網路；建立人脈,He has a strong network of contacts.,他有很強的人脈網絡。
06-05,notion,/ˈnəʊ.ʃən/,n.,概念；觀念,I have no notion of what you mean.,我完全不懂你的意思。
06-06,objective,/əbˈdʒek.tɪv/,n./adj.,目標；客觀的,Our main objective is to reduce costs.,我們的主要目標是降低成本。
06-07,occupy,/ˈɒk.jə.paɪ/,v.,佔據；忙於,Work occupies most of her time.,工作佔據了她大部分的時間。
06-08,orient,/ˈɔː.ri.ent/,v.,使適應；以…為導向,The course is oriented towards beginners.,這門課程是針對初學者的。
06-09,parallel,/ˈpær.ə.lel/,adj./n.,平行的；相似之處,The road runs parallel to the river.,這條路與河流平行。
06-10,physician,/fɪˈzɪʃ.ən/,n.,內科醫生,You should consult a physician.,你應該諮詢內科醫生。
06-11,precise,/prɪˈsaɪs/,adj.,精確的,Please give me the precise time.,請給我確切的時間。
06-12,psychology,/saɪˈkɒl.ə.dʒi/,n.,心理學,He is studying child psychology.,他正在攻讀兒童心理學。
06-13,pursue,/pəˈsjuː/,v.,追求；追捕,She decided to pursue a career in art.,她決定追求藝術事業。
06-14,qualitative,/ˈkwɒl.ɪ.tə.tɪv/,adj.,質性的；性質的,Qualitative research focuses on understanding concepts.,質性研究著重於理解概念。
06-15,quantitative,/ˈkwɒn.tɪ.tə.tɪv/,adj.,定量的；數量的,Quantitative data can be measured numerically.,定量數據可以用數字測量。
06-16,ratio,/ˈreɪ.ʃi.əʊ/,n.,比例,The ratio of men to women is 2 to 1.,男女比例是二比一。
06-17,reject,/rɪˈdʒekt/,v.,拒絕,My application was rejected.,我的申請被拒絕了。
06-18,revenue,/ˈrev.ən.juː/,n.,收入；收益,Tax revenue has increased this year.,今年的稅收增加了。
06-19,stability,/stəˈbɪl.ə.ti/,n.,穩定性,Economic stability is important for growth.,經濟穩定對成長很重要。
06-20,style,/staɪl/,n.,風格,Her writing style is very clear.,她的寫作風格很清晰。
06-21,substitute,/ˈsʌb.stɪ.tjuːt/,n./v.,代替品；替代,You can substitute honey for sugar.,你可以用蜂蜜代替糖。
06-22,symbol,/ˈsɪm.bəl/,n.,象徵；符號,The dove is a symbol of peace.,鴿子是和平的象徵。
06-23,target,/ˈtɑː.ɡɪt/,n./v.,目標；瞄準,The new campaign targets young people.,新活動鎖定年輕人。
06-24,technical,/ˈtek.nɪ.kəl/,adj.,技術的；專門的,He has great technical skills.,他有很好的技術能力。
06-25,technique,/tekˈniːk/,n.,技巧；技術,The artist uses a unique painting technique.,這位藝術家使用獨特的繪畫技巧。
06-26,technology,/tekˈnɒl.ə.dʒi/,n.,科技；技術,Technology makes our lives easier.,科技讓我們的生活更便利。
