date,word,ipa,pos,meaning,sentence e,sentence c
06-27,trend,/trend/,n.,趨勢；潮流,There is a growing trend towards healthy eating.,健康飲食的趨勢正在成長。
06-28,unique,/juːˈniːk/,adj.,獨一無二的,Everyone has a unique fingerprint.,每個人都有獨一無二的指紋。
06-29,utility,/juːˈtɪl.ə.ti/,n.,效用；公用事業,This tool has great utility.,這個工具有很大的效用。
06-30,welfare,/ˈwel.feər/,n.,福利；福祉,The government concerns about the welfare of the poor.,政府關心窮人的福祉。
07-01,whereas,/weərˈæz/,conj.,然而；反之,"He likes coffee,whereas she prefers tea.","他喜歡咖啡,而她喜歡茶。"
07-02,adhere,/ədˈhɪər/,v.,遵守；黏附,We must adhere to the rules.,我們必須遵守規則。
07-03,advocate,/ˈæd.və.keɪt/,n./v.,提倡者；主張,He is a strong advocate of human rights.,他是人權的強力提倡者。
07-04,aggregate,/ˈæɡ.rɪ.ɡət/,adj./n.,總計的；總數,The aggregate demand is increasing.,總需求正在增加。
07-05,albeit,/ɔːlˈbiː.ɪt/,conj.,雖然；儘管,It was a difficult task,albeit interesting.
07-06,allocate,/ˈæl.ə.keɪt/,v.,分配；撥出,We need to allocate more resources to the project.,我們需要分配更多資源給這個專案。
07-07,analogy,/əˈnæl.ə.dʒi/,n.,類比,He drew an analogy between the brain and a computer.,他將大腦與電腦做了一個類比。
07-08,append,/əˈpend/,v.,附加；增補,Please append your signature to the document.,請在文件上附加你的簽名。
07-09,arbitrary,/ˈɑː.bɪ.trər.i/,adj.,武斷的；任意的,The decision seemed completely arbitrary.,這個決定似乎完全是武斷的。
07-10,bias,/ˈbaɪ.əs/,n.,偏見,We should avoid gender bias.,我們應該避免性別偏見。
07-11,bulk,/bʌlk/,n.,大部分；巨大體積,The bulk of the work is done.,大部分的工作都做完了。
07-12,cease,/siːs/,v.,停止,The rain ceased after a few hours.,雨在幾小時後停了。
07-13,clause,/klɔːz/,n.,條款；子句,Check the cancellation clause in the contract.,檢查合約中的取消條款。
07-14,commodity,/kəˈmɒd.ə.ti/,n.,商品；日用品,Oil is a valuable commodity.,石油是有價值的商品。
07-15,compile,/kəmˈpaɪl/,v.,匯編；編譯,We are compiling a list of candidates.,我們正在匯編候選人名單。
07-16,conceive,/kənˈsiːv/,v.,構思；懷孕,I cannot conceive why he did that.,我無法構思他為什麼那樣做。
07-17,concurrent,/kənˈkʌr.ənt/,adj.,同時發生的,The exhibition runs concurrent with the conference.,展覽與會議同時進行。
07-18,confer,/kənˈfɜːr/,v.,商討；授予,He conferred with his lawyers.,他與律師商討。
07-19,confine,/kənˈfaɪn/,v.,限制；監禁,Please confine your remarks to the topic.,請將你的發言限制在主題內。
07-20,conform,/kənˈfɔːm/,v.,遵守；符合,All students must conform to the dress code.,所有學生必須遵守服裝規定。
07-21,consensus,/kənˈsen.səs/,n.,共識,We reached a consensus on the plan.,我們對計畫達成了共識。
07-22,constitute,/ˈkɒn.stɪ.tjuːt/,v.,構成；組成,Twelve months constitute a year.,十二個月構成一年。
07-23,constrain,/kənˈstreɪn/,v.,限制；約束,We are constrained by a tight budget.,我們受到預算吃緊的限制。
07-24,contemporary,/kənˈtem.pər.ər.i/,adj./n.,當代的；同時代的人,Contemporary art can be hard to understand.,當代藝術可能有時候很難懂。
07-25,contradict,/ˌkɒn.trəˈdɪkt/,v.,反駁；與…矛盾,His actions contradict his words.,他的行為與言語矛盾。
07-26,conversely,/ˈkɒn.vɜːs.li/,adv.,相反地,"Rich people are not always happy; conversely,poor people are not always unhappy.","有錢人不總是快樂；相反地,窮人不總是不快樂。"
07-27,convince,/kənˈvɪns/,v.,說服,I tried to convince him to stay.,我試圖說服他留下來。
07-28,coordinate,/kəʊˈɔː.dɪ.neɪt/,v.,協調,We need to coordinate our efforts.,我們需要協調我們的努力。
07-29,core,/kɔːr/,n.,核心,The core of the problem is lack of money.,問題的核心是缺錢。
07-30,correspond,/ˌkɒr.ɪˈspɒnd/,v.,符合；通信,His story does not correspond with the facts.,他的故事與事實不符。
07-31,currency,/ˈkʌr.ən.si/,n.,貨幣,The Euro is the currency of many European countries.,歐元是許多歐洲國家的貨幣。
08-01,cycle,/ˈsaɪ.kəl/,n.,循環；週期,The life cycle of a butterfly is fascinating.,蝴蝶的生命週期很迷人。
08-02,debate,/dɪˈbeɪt/,n./v.,辯論,They had a heated debate about politics.,他們對政治進行了激烈的辯論。
08-03,deduce,/dɪˈdjuːs/,v.,推論,We can deduce the answer from the clues.,我們可以從線索推論出答案。
08-04,definite,/ˈdef.ɪ.nət/,adj.,明確的；肯定的,Is that a definite answer?,那是肯定的答案嗎？
08-05,denote,/dɪˈnəʊt/,v.,表示；代表,Red often denotes danger.,紅色通常代表危險。
08-06,depress,/dɪˈpres/,v.,使沮喪；使蕭條,Bad news depresses him.,壞消息讓他沮喪。
08-07,deviate,/ˈdiː.vi.eɪt/,v.,偏離,Do not deviate from the instructions.,不要偏離指示。
08-08,differentiate,/ˌdɪf.əˈren.ʃi.eɪt/,v.,區分,Can you differentiate between the two plants?,你能區分這兩種植物嗎？
08-09,diminish,/dɪˈmɪn.ɪʃ/,v.,減少；降低,His influence has diminished over time.,他的影響力隨著時間降低了。
08-10,dispose,/dɪˈspəʊz/,v.,處置；配置,How should we dispose of this waste?,我們該如何處置這些廢棄物？
08-11,disproportionate,/ˌdɪs.prəˈpɔː.ʃən.ət/,adj.,不成比例的,They spend a disproportionate amount of income on rent.,他們花在房租上的收入不成比例。
08-12,domain,/dəˈmeɪn/,n.,領域；領土,This topic is outside my domain of expertise.,這個主題超出我的專業領域。
08-13,enforce,/ɪnˈfɔːs/,v.,執行（法律等）；強迫,Police enforce traffic laws.,警方執行交通法規。
08-14,equivalent,/ɪˈkwɪv.əl.ənt/,adj./n.,相等的；等價物,$100 is equivalent to about 80 Euros.,100 美元約等於 80 歐元。
08-15,erode,/ɪˈrəʊd/,v.,侵蝕；腐蝕,Wind and rain erode the rocks.,風雨侵蝕岩石。
08-16,error,/ˈer.ər/,n.,錯誤,There is an error in the calculation.,計算中有一個錯誤。
08-17,estate,/ɪˈsteɪt/,n.,地產；財產,He owns a large estate in the country.,他在鄉下擁有一大片地產。
08-18,eventual,/ɪˈven.tʃu.əl/,adj.,最終的,The eventual winner was unexpected.,最終的贏家出乎意料。
08-19,exhibit,/ɪɡˈzɪb.ɪt/,v./n.,展示；展覽,The museum exhibits ancient pottery.,博物館展示古代陶器。
08-20,export,/ɪkˈspɔːt/,v./n.,出口,China exports goods to the whole world.,中國向全世界出口商品。
08-21,expose,/ɪkˈspəʊz/,v.,暴露；揭露,Do not expose your skin to the sun for too long.,不要讓皮膚暴露在陽光下太久。
08-22,fluctuation,/ˌflʌk.tʃuˈeɪ.ʃən/,n.,波動,There are fluctuations in the market.,市場有波動。
08-23,format,/ˈfɔː.mæt/,n.,格式,Please submit the file in PDF format.,請以 PDF 格式提交檔案。
08-24,grant,/ɡrɑːnt/,v./n.,准予；補助金,The government granted him a visa.,政府准予他簽證。
08-25,hierarchy,/ˈhaɪə.rɑː.ki/,n.,階級制度,The company has a strict hierarchy.,這家公司有嚴格的階級制度。
08-26,identical,/aɪˈden.tɪ.kəl/,adj.,完全相同的,The twins look identical.,這對雙胞胎長得一模一樣。
08-27,implicit,/ɪmˈplɪs.ɪt/,adj.,含蓄的；隱含的,There was an implicit threat in his voice.,他的聲音中帶有含蓄的威脅。
08-28,index,/ˈɪn.deks/,n.,索引；指數,Look up the word in the index.,在索引中查這個字。
08-29,inhibit,/ɪnˈhɪb.ɪt/,v.,抑制；阻礙,Fear can inhibit learning.,恐懼會阻礙學習。
08-30,institute,/ˈɪn.stɪ.tjuːt/,n./v.,協會；制定,The institute conducts cancer research.,該協會進行癌症研究。
08-31,instruct,/ɪnˈstrʌkt/,v.,指示；教導,She instructed the students to open their books.,她指示學生打開書本。
09-01,intelligence,/ɪnˈtel.ɪ.dʒəns/,n.,智力；情報,Artificial intelligence is changing the world.,人工智慧正在改變世界。
09-02,interval,/ˈɪn.tə.vəl/,n.,間隔,Trains run at 10-minute intervals.,火車每隔 10 分鐘一班。
09-03,intervene,/ˌɪn.təˈviːn/,v.,介入；干預,The UN had to intervene in the conflict.,聯合國必須介入這場衝突。
09-04,intrinsic,/ɪnˈtrɪn.zɪk/,adj.,內在的；本質的,Music has an intrinsic value.,音樂有其內在價值。
09-05,invest,/ɪnˈvest/,v.,投資,He invested money in stocks.,他把錢投資在股票。
09-06,invoke,/ɪnˈvəʊk/,v.,援引；祈求,He invoked the law to protect himself.,他援引法律來保護自己。
09-07,levy,/ˈlev.i/,v./n.,徵收（稅等）；稅款,The government levied a new tax on cars.,政府對汽車徵收新稅。
09-08,liberal,/ˈlɪb.ər.əl/,adj.,自由開放的；慷慨的,Her parents are quite liberal.,她的父母很開明。
09-09,migrate,/maɪˈɡreɪt/,v.,遷移；遷徙,Birds migrate south in winter.,鳥類冬天往南遷徙。
09-10,ministry,/ˈmɪn.ɪ.stri/,n.,（政府的）部,The Ministry of Education announced new rules.,教育部宣布了新規定。
09-11,mode,/məʊd/,n.,模式；方式,Switch the phone to silent mode.,把手機切換到靜音模式。
09-12,mutual,/ˈmjuː.tʃu.əl/,adj.,相互的,Respect should be mutual.,尊重應該是相互的。
09-13,nevertheless,/ˌnev.ə.ðəˈles/,adv.,儘管如此；然而,"It was raining; nevertheless,we went out.","雖然在下雨,我們還是出門了。"
09-14,nonetheless,/ˌnʌn.ðəˈles/,adv.,儘管如此,"The task was hard,but we finished it nonetheless.","任務很難,但我們還是完成了。"
09-15,norm,/nɔːm/,n.,規範；常態,Working late has become the norm.,加班已成為常態。
09-16,normal,/ˈnɔː.məl/,adj.,正常的,It is normal to feel nervous before a test.,考試前感到緊張是正常的。
09-17,notwithstanding,/ˌnɒt.wɪðˈstæn.dɪŋ/,prep./adv.,儘管,"Notwithstanding the bad weather,the event went on.","儘管天氣不好,活動照常進行。"
09-18,nuclear,/ˈnjuː.klɪər/,adj.,核能的；核心的,Nuclear energy is a controversial topic.,核能是一個有爭議的話題。
09-19,panel,/ˈpæn.əl/,n.,專家小組；嵌板,A panel of experts will discuss the issue.,一個專家小組將討論這個議題。
09-20,passive,/ˈpæs.ɪv/,adj.,被動的,He plays a passive role in the relationship.,他在這段關係中扮演被動的角色。
09-21,perceive,/pəˈsiːv/,v.,察覺；看待,How do you perceive your role in the team?,你如何看待你在團隊中的角色？
09-22,plus,/plʌs/,prep./n.,加上；好處,Two plus two equals four.,二加二等於四。
09-23,portion,/ˈpɔː.ʃən/,n.,一部分；一份,She ate a small portion of the cake.,她吃了一小塊蛋糕。
09-24,pose,/pəʊz/,v./n.,造成；擺姿勢,Pollution poses a threat to health.,污染對健康造成威脅。
09-25,practitioner,/prækˈtɪʃ.ən.ər/,n.,從業人員；醫師,He is a medical practitioner.,他是一名醫生。
09-26,predominant,/prɪˈdɒm.ɪ.nənt/,adj.,佔優勢的；主要的,Green is the predominant color in the forest.,綠色是森林中的主色調。
09-27,presume,/prɪˈzjuːm/,v.,推定；冒昧,I presume you are tired after the trip.,我推定你旅行後累了。
09-28,prohibit,/prəˈhɪb.ɪt/,v.,禁止,Smoking is prohibited in this area.,此區域禁止吸菸。
09-29,proportion,/prəˈpɔː.ʃən/,n.,比例；部分,A large proportion of the budget goes to salaries.,大部分預算用於薪資。
09-30,protocol,/ˈprəʊ.tə.kɒl/,n.,協議；禮節,Follow the safety protocol strictly.,嚴格遵守安全協議。
10-01,publication,/ˌpʌb.lɪˈkeɪ.ʃən/,n.,出版；刊物,The publication of the results is delayed.,結果的發表被延遲了。
10-02,quote,/kwəʊt/,v./n.,引用；報價,Can I quote you on that?,我可以引用你那句話嗎？
10-03,random,/ˈræn.dəm/,adj.,隨機的,The winner is chosen at random.,贏家是隨機選出的。
10-04,react,/riˈækt/,v.,反應,How did he react to the news?,他對這消息有什麼反應？
10-05,recover,/rɪˈkʌv.ər/,v.,恢復,It took weeks to recover from the flu.,從流感中恢復花了幾週。
10-06,refine,/rɪˈfaɪn/,v.,提煉；改良,We need to refine our methods.,我們需要改良我們的方法。
10-07,regime,/reɪˈʒiːm/,n.,政權；體制,The old regime was overthrown.,舊政權被推翻了。
10-08,relax,/rɪˈlæks/,v.,放鬆,Just relax and enjoy the music.,就放鬆享受音樂吧。
10-09,release,/rɪˈliːs/,v./n.,釋放；發行,The movie will be released next month.,這部電影下個月發行。
10-10,rely,/rɪˈlaɪ/,v.,依賴,You can rely on me.,你可以信賴我。
10-11,remove,/rɪˈmuːv/,v.,移除,Please remove your shoes before entering.,進入前請脫鞋。
10-12,resolute,/ˈrez.ə.luːt/,adj.,堅決的,She remained resolute in her decision.,她對她的決定保持堅決。
10-13,retain,/rɪˈteɪn/,v.,保留,This container retains heat well.,這個容器保溫效果很好。
10-14,reveal,/rɪˈviːl/,v.,揭示,The investigation revealed the truth.,調查揭示了真相。
10-15,reverse,/rɪˈvɜːs/,v./adj.,倒轉；相反的,Can you reverse the car into the garage?,你能把車倒進車庫嗎？
10-16,revolution,/ˌrev.əˈluː.ʃən/,n.,革命,The industrial revolution changed the world.,工業革命改變了世界。
10-17,rigid,/ˈrɪdʒ.ɪd/,adj.,僵硬的；嚴格的,The rules are too rigid.,規則太僵化了。
10-18,route,/ruːt/,n.,路線,Which route should we take?,我們該走哪條路？
10-19,scenario,/sɪˈnɑː.ri.əʊ/,n.,情境；劇本,Let's imagine a worst-case scenario.,我們來想像最糟的情況。
10-20,scope,/skəʊp/,n.,範圍,The scope of the project is huge.,這個專案的範圍很大。
10-21,sector,/ˈsek.tər/,n.,部門；領域,The service sector is growing fast.,服務業正在快速成長。
10-22,secure,/sɪˈkjʊər/,adj./v.,安全的；獲得,Make sure the connection is secure.,確保連線是安全的。
10-23,seek,/siːk/,v.,尋找,We are seeking new opportunities.,我們正在尋找新機會。
10-24,sequence,/ˈsiː.kwəns/,n.,順序,The numbers are in a logical sequence.,這些數字按邏輯順序排列。
10-25,series,/ˈsɪə.riːz/,n.,系列,Wait for the next book in the series.,等待系列中的下一本書。
10-26,sex,/seks/,n.,性別；性,The form asks for your sex.,表格詢問你的性別。
10-27,site,/saɪt/,n.,地點；網站,This is the site of the new hospital.,這是新醫院的預定地。
10-28,so-called,/ˌsəʊˈkɔːld/,adj.,所謂的,The so-called expert was wrong.,那個所謂的專家錯了。
10-29,sole,/səʊl/,adj.,唯一的,He is the sole survivor of the crash.,他是空難的唯一倖存者。
10-30,somehow,/ˈsʌm.haʊ/,adv.,不知怎麼地,"Somehow,we managed to finish on time.","不知怎麼地,我們準時完成了。"
10-31,specify,/ˈspes.ɪ.faɪ/,v.,具體說明,The contract specifies the payment terms.,合約具體說明了付款條件。
11-01,sphere,/sfɪər/,n.,球體；領域,This is within my sphere of influence.,這在我的影響範圍內。
11-02,stable,/ˈsteɪ.bəl/,adj.,穩定的,The patient is in stable condition.,病人情況穩定。
11-03,statistics,/stəˈtɪs.tɪks/,n.,統計數據,Statistics show that crime is down.,統計數據顯示犯罪率下降。
11-04,status,/ˈsteɪ.təs/,n.,地位；狀態,What is the status of the project?,專案的狀態如何？
11-05,straightforward,/ˌstreɪtˈfɔː.wəd/,adj.,直接的；簡單的,The instructions are straightforward.,指示很簡單明瞭。
11-06,stress,/stres/,n./v.,壓力；強調,Don't let stress get to you.,別讓壓力擊垮你。
11-07,subordinate,/səˈbɔː.dɪ.nət/,adj./n.,次要的；下屬,He treats his subordinates well.,他對下屬很好。
11-08,subsequent,/ˈsʌb.sɪ.kwənt/,adj.,隨後的,Subsequent events proved him right.,隨後的事件證明他是對的。
11-09,subsidy,/ˈsʌb.sɪ.di/,n.,補助金,Farmers receive a government subsidy.,農民收到政府補助。
11-10,successor,/səkˈses.ər/,n.,繼任者,Who will be the CEO's successor?,誰將是執行長的繼任者？
11-11,sufficient,/səˈfɪʃ.ənt/,adj.,充足的,We have sufficient food for everyone.,我們有足夠的食物給每個人。
11-12,sum,/sʌm/,n.,總和；金額,The sum of 5 and 7 is 12.,5 加 7 的總和是 12。
11-13,summary,/ˈsʌm.ər.i/,n.,摘要,Write a brief summary of the book.,寫這本書的簡短摘要。
11-14,supplement,/ˈsʌp.lɪ.ment/,n./v.,補充,He takes vitamins to supplement his diet.,他吃維他命來補充飲食。
11-15,survey,/ˈsɜː.veɪ/,n./v.,調查,We conducted a survey on customer satisfaction.,我們做了一項顧客滿意度調查。
11-16,survive,/səˈvaɪv/,v.,存活,Only a few plants survived the drought.,只有少數植物在乾旱中存活。
11-17,suspend,/səˈspend/,v.,暫停；懸掛,The game was suspended due to rain.,比賽因雨暫停。
11-18,tape,/teɪp/,n./v.,膠帶；錄音,She taped the box shut.,她用膠帶封箱。
11-19,task,/tɑːsk/,n.,任務,Focus on the task at hand.,專注於手邊的任務。
11-20,team,/tiːm/,n.,團隊,We work well as a team.,我們團隊合作得很好。
11-21,tense,/tens/,adj./n.,緊張的；時態,The atmosphere in the room was tense.,房裡的氣氛很緊張。
11-22,text,/tekst/,n.,文本；正文,Read the text carefully.,仔細閱讀文本。
11-23,theme,/θiːm/,n.,主題,"The theme of the party is ""Future"".",派對的主題是「未來」。
11-24,thereby,/ˌðeəˈbaɪ/,adv.,因此,"He signed the contract,thereby accepting the terms.","他簽了約,因此接受了條款。"
11-25,thesis,/ˈθiː.sɪs/,n.,論文；論點,He is writing his master's thesis.,他正在寫碩士論文。
11-26,topic,/ˈtɒp.ɪk/,n.,話題,"Change the topic,please.",請換個話題。
11-27,transfer,/trænsˈfɜːr/,v./n.,轉移,He transferred money to my account.,他轉帳到我的戶頭。
11-28,transform,/trænsˈfɔːm/,v.,改變；變形,The caterpillar transformed into a butterfly.,毛毛蟲變成了蝴蝶。
11-29,transit,/ˈtræn.zɪt/,n.,運輸；過境,Goods are damaged in transit.,貨物在運輸中損壞。
11-30,transmit,/trænzˈmɪt/,v.,傳播；傳送,The disease is transmitted by mosquitoes.,這種病由蚊子傳播。
12-01,transport,/trænˈspɔːt/,v./n.,運輸,Trucks transport goods across the country.,卡車在全國各地運輸貨物。
12-02,trigger,/ˈtrɪɡ.ər/,v./n.,觸發；板機,Smoke triggered the fire alarm.,煙霧觸發了火災警報。
12-03,underlie,/ˌʌn.dəˈlaɪ/,v.,構成…的基礎,Hard work underlies his success.,努力是他成功的基礎。
12-04,undertake,/ˌʌn.dəˈteɪk/,v.,承擔；著手做,He undertook the responsibility willingly.,他自願承擔責任。
12-05,uniform,/ˈjuː.nɪ.fɔːm/,adj./n.,一致的；制服,The soldiers wore uniform dress.,士兵穿著一致的服裝。
12-06,unify,/ˈjuː.nɪ.faɪ/,v.,統一,The leader tried to unify the country.,領袖試圖統一國家。
12-07,utilize,/ˈjuː.tɪ.laɪz/,v.,利用,We must utilize all available resources.,我們必須利用所有可用資源。
12-08,vary,/ˈveə.ri/,v.,變化,Prices vary from store to store.,價格因店而異。
12-09,vehicle,/ˈviː.ə.kəl/,n.,車輛；媒介,The car is a safe vehicle.,這輛車是安全的交通工具。
12-10,version,/ˈvɜː.ʃən/,n.,版本,Download the latest version of the app.,下載應用程式的最新版本。
12-11,via,/ˈvaɪə/,prep.,經由,We flew to London via Dubai.,我們經由杜拜飛往倫敦。
12-12,virtual,/ˈvɜː.tʃu.əl/,adj.,虛擬的；實質上的,We had a virtual meeting online.,我們在線上開了虛擬會議。
12-13,vision,/ˈvɪʒ.ən/,n.,視力；願景,He has a clear vision for the future.,他對未來有清晰的願景。
12-14,visual,/ˈvɪʒ.u.əl/,adj.,視覺的,Visual aids help students learn.,視覺輔助有助學生學習。
12-15,volume,/ˈvɒl.juːm/,n.,音量；體積,"Turn down the volume,please.",請把音量關小。
12-16,whereby,/weəˈbaɪ/,adv.,藉以,A plan whereby we can save money.,一個我們可以藉此省錢的計畫。
12-17,stochastic,/stəˈkæs.tɪk/,adj.,隨機的；機率性的,Stochastic processes are common in real-world systems.,隨機過程在真實系統中很常見。
12-18,governance,/ˈɡʌv.ən.əns/,n.,治理；管理機制,Data governance defines who can access information.,資料治理規範誰能存取資訊。
12-19,pedagogy,/ˈped.ə.ɡɒdʒ.i/,n.,教學法；教育學,The course explores pedagogy for mixed-ability classes.,這門課探討混合能力班級的教學法。
12-20,stakeholder,/ˈsteɪkˌhəʊl.dər/,n.,利害關係人,"Stakeholders include teachers,parents, and policymakers.","利害關係人包含老師,家長與決策者。"
12-21,scalability,/ˌskeɪ.ləˈbɪl.ə.ti/,n.,可擴展性,Scalability is a major concern for nationwide programs.,全國性計畫很重視可擴展性。
12-22,disaggregate,/dɪˈæs.ɡrɪ.ɡeɪt/,v.,拆分（資料）；解聚,We disaggregated the scores by region and gender.,我們依地區與性別拆分成績資料。
12-23,tenable,/ˈten.ə.bəl/,adj.,站得住腳的；合理可維持的,That conclusion is not tenable without stronger evidence.,"沒有更強的證據,該結論站不住腳。"
12-24,contentious,/kənˈten.ʃəs/,adj.,有爭議的,The issue of standardized testing remains contentious.,標準化測驗的議題仍具爭議。
12-25,mitigate,/ˈmɪt.ɪ.ɡeɪt/,v.,緩和；減輕,The government implemented new policies to mitigate the effects of the crisis.,政府實施新政策以減輕危機的影響。
12-26,discrepancy,/dɪˈskrep.ən.si/,n.,差異；不一致,There is a significant discrepancy between the estimated and actual costs.,預估成本與實際成本之間存在顯著差異。
12-27,exacerbate,/ɪɡˈzæs.ə.beɪt/,v.,使惡化；加劇,Lack of sleep can exacerbate existing health problems.,睡眠不足可能會加劇現有的健康問題。
12-28,viable,/ˈvaɪ.ə.bəl/,adj.,可行的；能存活的,Solar power is becoming a commercially viable energy source.,太陽能正逐漸成為商業上可行的能源來源。
12-29,tentative,/ˈten.tə.tɪv/,adj.,暫時的；試驗性的,"We have reached a tentative agreement,but details still need to be finalized.","我們已達成暫時協議,但細節仍需敲定。"
12-30,scrutinize,/ˈskruː.tɪ.naɪz/,v.,詳細檢查；細看,Journalists scrutinize every move the president makes.,記者詳細檢查總統的一舉一動。
12-31,proliferate,/prəˈlɪf.ə.reɪt/,v.,激增；擴散,Online learning platforms have proliferated in recent years.,線上學習平台近年來激增。